phase,type,stage,responsibility,component,model_or_tool,thread_model,speed_observed,speed_estimated,bottleneck,notes
P4 Agent,online-query,Postgres checkpoint,Read/write LangGraph state,backend/,PostgreSQL 16 (LangGraph PostgresSaver),,~5–20 ms/op,,None,Thread-safe; one entry per thread_id
P4 Agent,online-query,LLM generation,Draft final answer from retrieved context,agent/nodes/synthesize.py,gemma2:9b Q4_K_M via Ollama,,~1–3 tokens/sec → ~5–30 s/response,GPU-bound (~5.5 GB VRAM),Sequential VRAM: retrieval models unloaded first
P4 Agent,online-query,HITL gate,Interrupt + expose draft for human review before delivery,agent/graph.py,LangGraph interrupt,Human (async),,human latency,Human-in-the-loop,User can edit draft before resuming graph
P5 Eval,offline-batch,Query runner,Run retrieve_and_rerank against live Qdrant for each eval query,eval/run.py,Qdrant + BGE-M3 + reranker,,~200–600 ms/query × N queries,,None,7 queries in dataset.jsonl (EN + FR + ZH)
P5 Eval,offline-batch,Metrics compute,Recall@k / RR / nDCG@k per query and per language,eval/metrics.py,,,< 1 ms/query,,None,Binary relevance; doc_id-level
P6 Backend,online-query,FastAPI routing,/retrieve /query /resume /{thread_id} /healthz,backend/main.py,FastAPI + uvicorn (1 worker),,~1 ms/request overhead,,None,Single worker enforces sequential VRAM discipline
P6 Backend,online-query,OTel tracing,Span emission per request and agent node,backend/,OpenTelemetry → OTLP gRPC,,< 1 ms/span,,None,Collector → local receiver; no prod exporter yet
P7 Frontend,online-query,Next.js UI,QueryForm → AgentTrace + ChunkCard + DraftEditor → FinalAnswer,frontend/,Next.js 14 App Router,,~100 ms SSR; sub-second interactions,,None,PDF highlight via react-pdf + bbox-to-percent overlay
P7 Frontend,online-query,PDF highlight,Render page + draw bbox overlay at correct zoom,frontend/components/PdfPreview.tsx,react-pdf (dynamic import),,< 100 ms/render,,None,bbox coords → percent; tracks zoom
P8 HF Space,online-query,Gradio interface,Multimodal chat — EN + FR; server-side PDF render with bbox,hf_space/,Gradio Blocks + httpx,,~2–5 s Gradio load; same backend latency,,None,No models in Space — all calls go to $BACKEND_URL
P8 HF Space,online-query,Server-side PDF render,pdfplumber → PIL + bbox rectangle drawn,hf_space/pdf_render.py,pdfplumber + Pillow,,~200–500 ms/page,,None,LRU-cached per (path + page + bbox)
